filter,mode,signal_count,trades,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,long_trades,short_trades,long_short_ratio,long_share,short_share,long_win_rate,short_win_rate,long_payoff_ratio,short_payoff_ratio
atr_stable_le_1p25,5m_conservative,4223,1718,0.06956499753445346,2.8999645760232323e-05,-0.9304350024655466,-0.9320999552288525,0.389988358556461,0.6069095678071836,-0.0015141356705087796,0.0059943853541215356,0.006314430600377397,0.9493152642715349,-0.03892276407195153,0.04732944157303568,852,866,0.9838337182448037,0.4959254947613504,0.5040745052386496,0.41784037558685444,0.3625866050808314,0.9650962378040758,0.9284455614204046
atr_stable_le_1p25,5m_optimistic,4223,1804,0.05760114395988708,1.3839692514285954e-05,-0.9423988560401129,-0.9448158270664533,0.38414634146341464,0.5823498933841031,-0.0015477042176881813,0.0056177533629032965,0.006017247064987816,0.933608559234832,-0.03892276407195153,0.04797182187073166,891,913,0.9759036144578314,0.49390243902439024,0.5060975609756098,0.40179573512906847,0.3669222343921139,0.9381417766318103,0.9300062328005857
atr_stable_le_1p25,1m_conservative,4223,1772,0.050435384381517435,8.221858847688871e-06,-0.9495646156184826,-0.9512524848795786,0.3781038374717833,0.5657347734814561,-0.00165060369816715,0.005687082751928638,0.006111810523542992,0.9305070453381561,-0.03892276407195153,0.04732944157303568,877,895,0.9798882681564246,0.494920993227991,0.505079006772009,0.3956670467502851,0.36089385474860336,0.9483995588136632,0.9127489098211513
atr_stable_le_1p25,1m_optimistic,4223,1804,0.05760114395988708,1.3839692514285954e-05,-0.9423988560401129,-0.9448158270664533,0.38414634146341464,0.5823498933841031,-0.0015477042176881813,0.0056177533629032965,0.006017247064987816,0.933608559234832,-0.03892276407195153,0.04797182187073166,891,913,0.9759036144578314,0.49390243902439024,0.5060975609756098,0.40179573512906847,0.3669222343921139,0.9381417766318103,0.9300062328005857
atr_stable_le_1p50,5m_conservative,4820,1917,0.046919813781251464,6.193984392592162e-06,-0.9530801862187486,-0.9561804027982952,0.3901930099113198,0.6007945475955798,-0.0015578129882406143,0.006008490153403736,0.006399211405648633,0.9389422809348033,-0.03892276407195153,0.06278539554259432,965,952,1.013655462184874,0.5033907146583203,0.4966092853416797,0.41658031088082903,0.3634453781512605,0.9367615344761959,0.9353307491629383
atr_stable_le_1p50,5m_optimistic,4820,1991,0.04329217088711754,4.518401971703233e-06,-0.9567078291128824,-0.9602236666603645,0.3832245102963335,0.5864539176932795,-0.0015416721164627078,0.005704908990506876,0.006044230247258955,0.9438603026570737,-0.03892276407195153,0.06278539554259432,1001,990,1.011111111111111,0.5027624309392266,0.4972375690607735,0.39760239760239763,0.3686868686868687,0.9361201147934459,0.9515758015748454
atr_stable_le_1p50,1m_conservative,4820,1958,0.03549851477614182,2.0753938261008286e-06,-0.9645014852238581,-0.9669334207579265,0.3774259448416752,0.5633875780782596,-0.0016693438057463004,0.005707227947633454,0.006141276968787841,0.9293226761534484,-0.03892276407195153,0.06278539554259432,984,974,1.0102669404517455,0.5025536261491318,0.4974463738508682,0.391260162601626,0.36344969199178645,0.9346494535701476,0.9230436462245692
atr_stable_le_1p50,1m_optimistic,4820,1991,0.04329217088711754,4.518401971703233e-06,-0.9567078291128824,-0.9602236666603645,0.3832245102963335,0.5864539176932795,-0.0015416721164627078,0.005704908990506876,0.006044230247258955,0.9438603026570737,-0.03892276407195153,0.06278539554259432,1001,990,1.011111111111111,0.5027624309392266,0.4972375690607735,0.39760239760239763,0.3686868686868687,0.9361201147934459,0.9515758015748454
htf_1h_same,5m_conservative,2772,1116,0.18923697896057992,0.001465552846442074,-0.8107630210394201,-0.8116693503847724,0.40591397849462363,0.6432457932163164,-0.001447009427684917,0.006427546170560096,0.006827361895264088,0.9414392072901056,-0.03892276407195153,0.06278539554259432,656,460,1.4260869565217391,0.5878136200716846,0.4121863799283154,0.43140243902439024,0.3695652173913043,0.8786925951107378,1.038188898089468
htf_1h_same,5m_optimistic,2772,1154,0.17668426691456837,0.0011198485996701643,-0.8233157330854316,-0.824180807536197,0.4072790294627383,0.6201615348540591,-0.0014615188480149445,0.0058589292659294466,0.006491651323970886,0.9025329571067583,-0.03892276407195153,0.06278539554259432,682,472,1.444915254237288,0.5909878682842288,0.4090121317157712,0.41935483870967744,0.3898305084745763,0.8704206234043719,0.9511976892455131
