config,signal_ts,entry_ts,exit_ts,side,entry_price,exit_price,reason,bars_held,net_ret_1x,mae_1x,mfe_1x,side_label
HYPE_5M_MS_R11999,2025-06-20 04:15:00+00:00,2025-06-20 04:20:00+00:00,2025-06-20 04:20:00+00:00,-1,35.795550118,35.67874179249054,target_limit,1,0.002435238504337688,-0.002466589043741655,0.004960117037305034,short
HYPE_5M_MS_R11999,2025-06-20 04:50:00+00:00,2025-06-20 04:55:00+00:00,2025-06-20 06:30:00+00:00,-1,35.627730381999996,36.68687440101452,stop_market,20,-0.030569729706392115,-0.03199875622613414,0.0023782144158922547,short
HYPE_5M_MS_R11999,2025-06-20 14:20:00+00:00,2025-06-20 14:25:00+00:00,2025-06-20 14:35:00+00:00,-1,36.455840865,36.3368778734426,target_limit,3,0.002435238504337688,-0.005740533116145989,0.0038907582882329317,short
HYPE_5M_MS_R11999,2025-06-20 14:45:00+00:00,2025-06-20 14:50:00+00:00,2025-06-20 14:50:00+00:00,-1,36.206109115,36.08796105008705,target_limit,1,0.0024352385043377995,-0.001571672821482088,0.01052609971951124,short
HYPE_5M_MS_R11999,2025-06-20 15:20:00+00:00,2025-06-20 15:25:00+00:00,2025-06-20 15:35:00+00:00,-1,35.74060913300001,35.62398009135232,target_limit,3,0.0024352385043377995,-0.008063967621883454,0.003598403500103098,short
HYPE_5M_MS_R11999,2025-06-20 20:15:00+00:00,2025-06-20 20:20:00+00:00,2025-06-20 20:20:00+00:00,-1,34.64278836,34.52974173588134,target_limit,1,0.002435238504337688,-0.004346551509344613,0.006113490571230673,short
HYPE_5M_MS_R11999,2025-06-20 22:10:00+00:00,2025-06-20 22:15:00+00:00,2025-06-20 22:15:00+00:00,-1,33.594913937,33.485286745081474,target_limit,1,0.002435238504337577,-0.001756711571365936,0.01550573810002509,short
HYPE_5M_MS_R11999,2025-06-21 13:45:00+00:00,2025-06-21 13:50:00+00:00,2025-06-21 13:55:00+00:00,-1,34.189275502,34.07770878466767,target_limit,2,0.002435238504337688,-0.004296711926208078,0.008051516095563205,short
HYPE_5M_MS_R11999,2025-06-21 14:25:00+00:00,2025-06-21 14:30:00+00:00,2025-06-21 15:25:00+00:00,-1,34.007470788,33.896497337264826,target_limit,12,0.0024352385043377995,-0.012398181477394814,0.008247328645768381,short
HYPE_5M_MS_R11999,2025-06-21 15:30:00+00:00,2025-06-21 15:35:00+00:00,2025-06-21 15:35:00+00:00,-1,33.520993339,33.411607365368226,target_limit,1,0.002435238504337688,-0.0019362946492576122,0.0067120128787542255,short
