variant,signal_ts,entry_ts,exit_ts,direction,entry_price,exit_price,entry_atr,allocation,entry_bar,exit_bar,hold_bars,exit_reason,raw_price_return,trade_return,entry_equity,exit_equity
trend_pullback_mid_reclaim_k2,2025-08-05 09:00:00+00:00,2025-08-05 09:30:00+00:00,2025-08-05 14:45:00+00:00,1,38.689469599999995,38.55057360000001,0.3326026785714284,1.0,6428,6449,21,midline_exit_next_open,-0.0035900207843632126,-0.005631565240599157,0.7381068937019121,0.7339501965754938
trend_pullback_mid_reclaim_k2,2025-08-05 17:15:00+00:00,2025-08-05 17:45:00+00:00,2025-08-05 18:45:00+00:00,1,38.570422,38.5575708,0.33017857142857127,1.0,6461,6465,4,midline_exit_next_open,-0.00033318795423087355,-0.0023315219115105368,0.7339501965754938,0.7322389756102206
trend_pullback_mid_reclaim_k2,2025-08-05 23:45:00+00:00,2025-08-06 00:15:00+00:00,2025-08-06 13:30:00+00:00,-1,38.3516532,37.8691416,0.32571726190476175,1.0,6487,6540,53,midline_exit_next_open,0.012581246432422422,0.00976561141169352,0.7322389756102206,0.7393897369065264
trend_pullback_mid_reclaim_k2,2025-08-06 22:00:00+00:00,2025-08-06 22:30:00+00:00,2025-08-06 22:45:00+00:00,1,38.1932712,38.023784400000004,0.31737648809523805,1.0,6576,6577,1,midline_exit_next_open,-0.004437608894835798,-0.006427738114655135,0.7393897369065264,0.7346371333130275
trend_pullback_mid_reclaim_k2,2025-08-07 01:15:00+00:00,2025-08-07 01:45:00+00:00,2025-08-07 02:00:00+00:00,1,38.2032752,37.919826,0.3151220238095237,1.0,6589,6590,1,midline_exit_next_open,-0.007419499990932721,-0.009403668410450816,0.7346371333130275,0.7277288493093477
trend_pullback_mid_reclaim_k2,2025-08-08 16:45:00+00:00,2025-08-08 17:15:00+00:00,2025-08-09 00:30:00+00:00,1,40.6502536,40.693716,0.28920684523809514,1.0,6747,6776,29,midline_exit_next_open,0.0010691790616530472,-0.0010318625337979448,0.7277288493093477,0.7269779331749815
trend_pullback_mid_reclaim_k2,2025-08-09 01:30:00+00:00,2025-08-09 02:00:00+00:00,2025-08-10 06:30:00+00:00,1,41.0304056,43.3606488,0.27998660714285706,1.0,6782,6896,114,midline_exit_next_open,0.056793082250203186,0.05431147005139225,0.7269779331749815,0.7664611734206376
trend_pullback_mid_reclaim_k2,2025-08-10 09:00:00+00:00,2025-08-10 09:30:00+00:00,2025-08-10 10:45:00+00:00,1,43.6594568,43.3816404,0.27740773809523817,1.0,6908,6913,5,midline_exit_next_open,-0.006363258280391637,-0.00834953812708894,0.7664611734206376,0.7600615766302287
trend_pullback_mid_reclaim_k2,2025-08-12 13:30:00+00:00,2025-08-12 14:00:00+00:00,2025-08-12 14:45:00+00:00,-1,43.210708800000006,43.62244199999999,0.27956994047619055,1.0,7118,7121,3,midline_exit_next_open,-0.009528499102055665,-0.011464017519401737,0.7600615766302287,0.7513482173999156
trend_pullback_mid_reclaim_k2,2025-08-13 01:15:00+00:00,2025-08-13 01:45:00+00:00,2025-08-13 02:00:00+00:00,1,43.8315256,43.9614084,0.2803169642857143,1.0,7165,7166,1,midline_exit_next_open,0.0029632279100959558,0.0009583044175036637,0.7513482173999156,0.7520682377157335
