surface,month,strategy,label,cost_bps_one_way,net_return,gross_return,max_drawdown,turnover
30_etf_fx_proxies,2018-07,mop_tsmom,MOP 12M TSMOM,10.0,0.00620735881193224,0.00787082413454665,-0.01835771091328764,1.6552148947799237
30_etf_fx_proxies,2018-08,mop_tsmom,MOP 12M TSMOM,0.0,0.013578986484358735,0.013578986484358735,-0.012582723100375892,1.7650399455864907
30_etf_fx_proxies,2018-08,mop_tsmom,MOP 12M TSMOM,2.0,0.01322139979071224,0.013578986484358735,-0.012582723100375892,1.7650399455864907
30_etf_fx_proxies,2018-08,mop_tsmom,MOP 12M TSMOM,10.0,0.011791053016124264,0.013578986484358735,-0.012582723100375892,1.7650399455864907
30_etf_fx_proxies,2018-09,mop_tsmom,MOP 12M TSMOM,0.0,0.016268756812264584,0.016268756812264584,-0.019189620059973045,0.5721010910311269
30_etf_fx_proxies,2018-09,mop_tsmom,MOP 12M TSMOM,2.0,0.016152943963726685,0.016268756812264584,-0.019189620059972934,0.5721010910311269
30_etf_fx_proxies,2018-09,mop_tsmom,MOP 12M TSMOM,10.0,0.015689692569572866,0.016268756812264584,-0.019189620059972934,0.5721010910311269
30_etf_fx_proxies,2018-10,mop_tsmom,MOP 12M TSMOM,0.0,-0.06186968021469508,-0.06186968021469508,-0.09071557898259563,0.58331450350331
30_etf_fx_proxies,2018-10,mop_tsmom,MOP 12M TSMOM,2.0,-0.06197906350238647,-0.06186968021469508,-0.0907155789825953,0.58331450350331
30_etf_fx_proxies,2018-10,mop_tsmom,MOP 12M TSMOM,10.0,-0.06241659665315291,-0.06186968021469508,-0.09071557898259541,0.58331450350331
30_etf_fx_proxies,2018-11,mop_tsmom,MOP 12M TSMOM,0.0,-0.013633632417020758,-0.013633632417020758,-0.017606161437853318,6.402948653511174
30_etf_fx_proxies,2018-11,mop_tsmom,MOP 12M TSMOM,2.0,-0.014931508243912206,-0.013633632417020758,-0.01760616143785343,6.402948653511174
30_etf_fx_proxies,2018-11,mop_tsmom,MOP 12M TSMOM,10.0,-0.020123011551477443,-0.013633632417020758,-0.01760616143785354,6.402948653511174
30_etf_fx_proxies,2018-12,mop_tsmom,MOP 12M TSMOM,0.0,-0.012409756934832372,-0.012409756934832372,-0.02599303137215969,0.940416484814895
30_etf_fx_proxies,2018-12,mop_tsmom,MOP 12M TSMOM,2.0,-0.01259962238641743,-0.012409756934832372,-0.025993031372159914,0.940416484814895
30_etf_fx_proxies,2018-12,mop_tsmom,MOP 12M TSMOM,10.0,-0.013359084192756776,-0.012409756934832372,-0.025993031372159803,0.940416484814895
30_etf_fx_proxies,2019-01,mop_tsmom,MOP 12M TSMOM,0.0,-0.08968259082815477,-0.08968259082815477,-0.09515625308421771,1.9207493301776217
30_etf_fx_proxies,2019-01,mop_tsmom,MOP 12M TSMOM,2.0,-0.09003112309084915,-0.08968259082815477,-0.09515625308421771,1.9207493301776217
30_etf_fx_proxies,2019-01,mop_tsmom,MOP 12M TSMOM,10.0,-0.09142525214162689,-0.08968259082815477,-0.09515625308421782,1.9207493301776217
30_etf_fx_proxies,2019-02,mop_tsmom,MOP 12M TSMOM,0.0,0.008652668256879714,0.008652668256879714,-0.03233426814120266,1.908409845178698
30_etf_fx_proxies,2019-02,mop_tsmom,MOP 12M TSMOM,2.0,0.00826528338134902,0.008652668256879714,-0.03233426814120277,1.908409845178698
30_etf_fx_proxies,2019-02,mop_tsmom,MOP 12M TSMOM,10.0,0.00671574387922691,0.008652668256879714,-0.03233426814120244,1.908409845178698
30_etf_fx_proxies,2019-03,mop_tsmom,MOP 12M TSMOM,0.0,0.048806811236048464,0.048806811236048464,-0.03376739803665707,0.6536081220813192
30_etf_fx_proxies,2019-03,mop_tsmom,MOP 12M TSMOM,2.0,0.04867062402235911,0.048806811236048464,-0.03376739803665685,0.6536081220813192
