variant,rebalance,lookback_month,eligible,status,longs,shorts,long_formation,short_formation,long_hold,short_hold,spread_hold,min_adv,median_adv
adv10m_momentum,2025-04-01,2025-03,215,traded,"1000CHEEMS,LAYER,BNX","GPS,ARC,MAVIA",0.7860681215176535,-0.77138128928407,0.3303722658962575,-0.05880996348743913,0.3891822293836966,10798426.277466666,77449655.245858
adv10m_momentum,2025-05-01,2025-04,230,traded,"ALPACA,BROCCOLIF3B,FARTCOIN","OM,VIDT,TROY",8.40782531087007,-0.8734276863313876,-0.28800164322828403,-0.1208635955256534,-0.16713804770263063,21347640.778268997,198291080.5517545
adv10m_momentum,2025-06-01,2025-05,253,traded,"MOODENG,KAITO,ETHFI","LAYER,BROCCOLIF3B,HIFI",2.0141421834292355,-0.7168087462273229,-0.20420601939761876,0.09755986442174569,-0.3017658838193644,31705655.118193332,204925797.7885698
adv10m_momentum,2025-07-01,2025-06,213,traded,"BID,FUN,TUT","ZKJ,HMSTR,SIREN",2.2380785877116707,-0.7385427652746096,-0.15337100513442728,-0.02350349680778452,-0.12986750832664276,17442881.26268534,75147539.14575039
adv10m_momentum,2025-08-01,2025-07,284,traded,"DOLO,HYPER,VINE","PUMP,AGT,DMC",2.752513163314552,-0.7590904445424899,0.20685285933597805,0.1668660834610228,0.03998677587495525,21468823.088423032,130341921.31232756
adv10m_momentum,2025-09-01,2025-08,264,traded,"MYX,AIOT,BIO","ASR,SPK,TST",4.991777196090994,-0.4342071644261667,3.6888785028946462,-0.046737530878314636,3.7356160337729607,28900636.38768267,130591902.29227416
adv10m_momentum,2025-10-01,2025-09,250,traded,"MYX,M,ALPINE","NEIROETH,UXLINK,DOLO",5.5852259090220855,-0.7817010420761741,-0.5753051737593919,-0.06367328664172182,-0.5116318871176702,33506068.175097667,106369225.2770045
adv10m_momentum,2025-11-01,2025-10,281,traded,"XPIN,COAI,ZEC","ALPINE,MYX,KDA",6.20085244725837,-0.8736267818984538,-0.4277185962393623,-0.07657467413192713,-0.35114392210743517,33859509.316481665,139647316.6550913
adv10m_momentum,2025-12-01,2025-11,255,traded,"PIPPIN,ARC,TNSR","EVAA,PORT3,JELLYJELLY",2.2489506040109903,-0.801794985634196,0.28375132722893504,0.2126958790882475,0.07105544814068754,16272571.351097332,157011912.44852832
adv10m_momentum,2026-01-01,2025-12,207,traded,"LIT,RIVER,PIPPIN","AIOT,TAKE,PTB",2.223439624008344,-0.7049539324357988,0.16339970673600476,-0.49730627164964486,0.6607059783856496,18905603.263802998,56804629.01264553
