month,strategy,label,cost_bps_one_way,observations,start_ts,end_ts,gross_return,net_return,max_drawdown,turnover,average_abs_position
2017-08,composite_1_3_12m,Composite,0.0,23,2017-08-01T00:00:00+00:00,2017-08-31T00:00:00+00:00,-0.014094300053444697,-0.014094300053444697,-0.01618811912003182,0.6237237930507447,0.32630044770901884
2017-09,composite_1_3_12m,Composite,0.0,20,2017-09-01T00:00:00+00:00,2017-09-29T00:00:00+00:00,-0.028469604168381513,-0.028469604168381513,-0.04945333672350338,1.3327532007928462,1.0064527530838274
2017-10,composite_1_3_12m,Composite,0.0,22,2017-10-02T00:00:00+00:00,2017-10-31T00:00:00+00:00,0.0034022060882688,0.0034022060882688,-0.0076907395648867505,1.3216516440507355,0.315198890966908
2017-11,composite_1_3_12m,Composite,0.0,21,2017-11-01T00:00:00+00:00,2017-11-30T00:00:00+00:00,-0.0009665321657814641,-0.0009665321657814641,-0.007214062489945716,0.019620836266742048,0.33481972723365
2017-12,composite_1_3_12m,Composite,0.0,20,2017-12-01T00:00:00+00:00,2017-12-29T00:00:00+00:00,0.008964424182901887,0.008964424182901887,-0.00925945988477983,0.6516875018594199,0.31686777462576987
2018-01,composite_1_3_12m,Composite,0.0,21,2018-01-02T00:00:00+00:00,2018-01-31T00:00:00+00:00,0.022792950322506833,0.022792950322506833,-0.020274377005637167,0.6879614999902789,1.004829274616049
2018-02,composite_1_3_12m,Composite,0.0,19,2018-02-01T00:00:00+00:00,2018-02-28T00:00:00+00:00,-0.01590963905149201,-0.01590963905149201,-0.029802213360106244,0.004499533425884383,1.009328808041933
2018-03,composite_1_3_12m,Composite,0.0,21,2018-03-01T00:00:00+00:00,2018-03-29T00:00:00+00:00,0.001275700774194366,0.001275700774194366,-0.007347676289664151,0.7014892201346392,0.307839587907294
2018-04,composite_1_3_12m,Composite,0.0,21,2018-04-02T00:00:00+00:00,2018-04-30T00:00:00+00:00,-0.0023470598950342536,-0.0023470598950342536,-0.027398122940369918,0.5764666833671213,0.8843062712744152
2018-05,composite_1_3_12m,Composite,0.0,22,2018-05-01T00:00:00+00:00,2018-05-31T00:00:00+00:00,0.004120906014782655,0.004120906014782655,-0.003722274656111302,1.176492031842932,0.2921857605685166
2018-06,composite_1_3_12m,Composite,0.0,21,2018-06-01T00:00:00+00:00,2018-06-29T00:00:00+00:00,0.010863954238692353,0.010863954238692353,-0.0031871904638790527,0.014432333351924453,0.3066180939204412
2018-07,composite_1_3_12m,Composite,0.0,21,2018-07-02T00:00:00+00:00,2018-07-31T00:00:00+00:00,0.00786486452498858,0.00786486452498858,-0.004594699640338762,0.013333261124601092,0.31995135504504213
2018-08,composite_1_3_12m,Composite,0.0,23,2018-08-01T00:00:00+00:00,2018-08-31T00:00:00+00:00,0.013371135804828516,0.013371135804828516,-0.027302449153827735,0.7013745233987387,1.0213258784437813
2018-09,composite_1_3_12m,Composite,0.0,19,2018-09-04T00:00:00+00:00,2018-09-28T00:00:00+00:00,0.008305442981644484,0.008305442981644484,-0.010214731283522238,0.023183464380068686,0.9981424140637121
2018-10,composite_1_3_12m,Composite,0.0,23,2018-10-01T00:00:00+00:00,2018-10-31T00:00:00+00:00,-0.01816411351655256,-0.01816411351655256,-0.04251496886598416,0.06648574160629728,1.06462815567001
2018-11,composite_1_3_12m,Composite,0.0,21,2018-11-01T00:00:00+00:00,2018-11-30T00:00:00+00:00,-0.0030318907872073364,-0.0030318907872073364,-0.007547802189356023,0.7496759764194554,0.3149521792505541
2018-12,composite_1_3_12m,Composite,0.0,20,2018-12-03T00:00:00+00:00,2018-12-31T00:00:00+00:00,0.014001970794541796,0.014001970794541796,-0.0028081987678996168,0.6285589838448484,0.31360680459429435
2019-01,composite_1_3_12m,Composite,0.0,21,2019-01-02T00:00:00+00:00,2019-01-31T00:00:00+00:00,0.01111204699895807,0.01111204699895807,-0.003768716617242318,0.012317950619127216,0.3259247552134215
2019-02,composite_1_3_12m,Composite,0.0,19,2019-02-01T00:00:00+00:00,2019-02-28T00:00:00+00:00,-0.0023071404952242913,-0.0023071404952242913,-0.00820667198410907,0.020610816796388154,0.3465355720098097
2019-03,composite_1_3_12m,Composite,0.0,21,2019-03-01T00:00:00+00:00,2019-03-29T00:00:00+00:00,0.004287601921260098,0.004287601921260098,-0.011536529572242382,0.6845882045743422,0.3380526325645325
2019-04,composite_1_3_12m,Composite,0.0,21,2019-04-01T00:00:00+00:00,2019-04-30T00:00:00+00:00,0.0029982257978213855,0.0029982257978213855,-0.004753874293520033,0.02356019898831707,0.3144924335762154
2019-05,composite_1_3_12m,Composite,0.0,22,2019-05-01T00:00:00+00:00,2019-05-31T00:00:00+00:00,-0.01618656549028008,-0.01618656549028008,-0.026569441863659726,0.6844253473752295,0.9989177809514449
2019-06,composite_1_3_12m,Composite,0.0,20,2019-06-03T00:00:00+00:00,2019-06-28T00:00:00+00:00,0.02831491997286273,0.02831491997286273,-0.004353346029698613,1.3477296315810494,0.3488118506296045
2019-07,composite_1_3_12m,Composite,0.0,22,2019-07-01T00:00:00+00:00,2019-07-31T00:00:00+00:00,0.007315146933306149,0.007315146933306149,-0.012143725687596696,0.4767769490791558,0.8255887997087605
2019-08,composite_1_3_12m,Composite,0.0,22,2019-08-01T00:00:00+00:00,2019-08-30T00:00:00+00:00,0.061784070775513955,0.061784070775513955,-0.012690669325885029,0.03000656535032764,0.855595365059088
2019-09,composite_1_3_12m,Composite,0.0,20,2019-09-03T00:00:00+00:00,2019-09-30T00:00:00+00:00,-0.029174945521709073,-0.029174945521709073,-0.0444924614063521,0.0643015563713083,0.7912938086877797
2019-10,composite_1_3_12m,Composite,0.0,23,2019-10-01T00:00:00+00:00,2019-10-31T00:00:00+00:00,0.007253836228475308,0.007253836228475308,-0.005099650440839487,0.5369219330127911,0.2543718756749885
2019-11,composite_1_3_12m,Composite,0.0,20,2019-11-01T00:00:00+00:00,2019-11-29T00:00:00+00:00,-0.022011932774550935,-0.022011932774550935,-0.03032072402025543,0.5381882825858902,0.7925601582608787
2019-12,composite_1_3_12m,Composite,0.0,21,2019-12-02T00:00:00+00:00,2019-12-31T00:00:00+00:00,-0.009241526772567066,-0.009241526772567066,-0.01063013567265525,1.065576927129993,0.27301676886911425
2020-01,composite_1_3_12m,Composite,0.0,21,2020-01-02T00:00:00+00:00,2020-01-31T00:00:00+00:00,0.034862467881925596,0.034862467881925596,-0.016778280757553277,1.1618565723988241,0.8888398035297099
2020-02,composite_1_3_12m,Composite,0.0,19,2020-02-03T00:00:00+00:00,2020-02-28T00:00:00+00:00,-0.009376939101024329,-0.009376939101024329,-0.06089245812629751,0.039086927337238286,0.9279267308669481
2020-03,composite_1_3_12m,Composite,0.0,22,2020-03-02T00:00:00+00:00,2020-03-31T00:00:00+00:00,0.0068898528355616495,0.0068898528355616495,-0.03433647031369469,0.6452726004125922,0.282654130454356
2020-04,composite_1_3_12m,Composite,0.0,21,2020-04-01T00:00:00+00:00,2020-04-30T00:00:00+00:00,0.02364918134133065,0.02364918134133065,-0.01771924313950879,0.10055097363114601,0.3832051040855021
2020-05,composite_1_3_12m,Composite,0.0,20,2020-05-01T00:00:00+00:00,2020-05-29T00:00:00+00:00,0.009804110260774657,0.009804110260774657,-0.01100234652203358,0.0019838724470018776,0.3812212316385003
